name,cate,dist,dire
ump_0m_center_0001.mp3,ump,0m,center
r1895_0m_center_0004.mp3,r1895,0m,center
vss_0m_center_0008.mp3,vss,0m,center
r1895_0m_center_0010.mp3,r1895,0m,center
aug_0m_center_0011.mp3,aug,0m,center
uzi_0m_center_0013.mp3,uzi,0m,center
m249_0m_center_0016.mp3,m249,0m,center
g36c_0m_center_0017.mp3,g36c,0m,center
m24_0m_center_0019.mp3,m24,0m,center
r45_0m_center_0023.mp3,r45,0m,center
dbs_0m_center_0027.mp3,dbs,0m,center
p18c_0m_center_0030.mp3,p18c,0m,center
nogun_None_None_0032.mp3,nogun,None,None
p90_0m_center_0033.mp3,p90,0m,center
mk_0m_center_0034.mp3,mk,0m,center
ump_0m_center_0035.mp3,ump,0m,center
vec_0m_center_0036.mp3,vec,0m,center
tomy_0m_center_0042.mp3,tomy,0m,center
m24_0m_center_0045.mp3,m24,0m,center
slr_0m_center_0051.mp3,slr,0m,center
r45_0m_center_0052.mp3,r45,0m,center
m249_0m_center_0053.mp3,m249,0m,center
uzi_0m_center_0055.mp3,uzi,0m,center
pump_0m_center_0057.mp3,pump,0m,center
awm_0m_center_0058.mp3,awm,0m,center
qbz_0m_center_0064.mp3,qbz,0m,center
scar_0m_center_0067.mp3,scar,0m,center
p18c_0m_center_0073.mp3,p18c,0m,center
g36c_0m_center_0074.mp3,g36c,0m,center
mk_0m_center_0076.mp3,mk,0m,center
nogun_None_None_0078.mp3,nogun,None,None
slr_0m_center_0079.mp3,slr,0m,center
m249_0m_center_0080.mp3,m249,0m,center
vss_0m_center_0086.mp3,vss,0m,center
s12k_0m_center_0087.mp3,s12k,0m,center
verl_0m_center_0091.mp3,verl,0m,center
gro_0m_center_0092.mp3,gro,0m,center
g36c_0m_center_0096.mp3,g36c,0m,center
p90_0m_center_0097.mp3,p90,0m,center
slr_0m_center_0101.mp3,slr,0m,center
gro_0m_center_0102.mp3,gro,0m,center
m24_0m_center_0103.mp3,m24,0m,center
r45_0m_center_0105.mp3,r45,0m,center
vss_0m_center_0106.mp3,vss,0m,center
p90_0m_center_0107.mp3,p90,0m,center
m16_0m_center_0110.mp3,m16,0m,center
deagle_0m_center_0112.mp3,deagle,0m,center
qbz_0m_center_0113.mp3,qbz,0m,center
tomy_0m_center_0118.mp3,tomy,0m,center
uzi_0m_center_0121.mp3,uzi,0m,center
awm_0m_center_0122.mp3,awm,0m,center
r1895_0m_center_0128.mp3,r1895,0m,center
dbs_0m_center_0135.mp3,dbs,0m,center
pump_0m_center_0138.mp3,pump,0m,center
r45_0m_center_0140.mp3,r45,0m,center
nogun_None_None_0141.mp3,nogun,None,None
nogun_None_None_0143.mp3,nogun,None,None
p92_0m_center_0148.mp3,p92,0m,center
pp_0m_center_0149.mp3,pp,0m,center
deagle_0m_center_0158.mp3,deagle,0m,center
kar_0m_center_0160.mp3,kar,0m,center
verl_0m_center_0162.mp3,verl,0m,center
dp_0m_center_0166.mp3,dp,0m,center
qbz_0m_center_0167.mp3,qbz,0m,center
qbz_0m_center_0170.mp3,qbz,0m,center
pp_0m_center_0172.mp3,pp,0m,center
dp_0m_center_0174.mp3,dp,0m,center
g36c_0m_center_0175.mp3,g36c,0m,center
