name,cate,dist,dire
ak_0m_center_0001.mp3,ak,0m,center
ak_0m_center_0002.mp3,ak,0m,center
ak_0m_center_0003.mp3,ak,0m,center
ak_0m_center_0004.mp3,ak,0m,center
ak_0m_center_0006.mp3,ak,0m,center
ak_0m_center_0007.mp3,ak,0m,center
ak_0m_center_0009.mp3,ak,0m,center
ak_0m_center_0010.mp3,ak,0m,center
ak_0m_center_0011.mp3,ak,0m,center
ak_0m_center_0013.mp3,ak,0m,center
ak_0m_center_0015.mp3,ak,0m,center
ak_0m_center_0016.mp3,ak,0m,center
ak_0m_center_0017.mp3,ak,0m,center
m4_0m_center_0366.mp3,m4,0m,center
m4_0m_center_0368.mp3,m4,0m,center
m4_0m_center_0370.mp3,m4,0m,center
m4_0m_center_0371.mp3,m4,0m,center
m4_0m_center_0372.mp3,m4,0m,center
m4_0m_center_0373.mp3,m4,0m,center
m4_0m_center_0374.mp3,m4,0m,center
m4_0m_center_0375.mp3,m4,0m,center
m4_0m_center_0376.mp3,m4,0m,center
m4_0m_center_0377.mp3,m4,0m,center
m4_0m_center_0378.mp3,m4,0m,center
m4_0m_center_0379.mp3,m4,0m,center
m4_0m_center_0381.mp3,m4,0m,center
m4_0m_center_0382.mp3,m4,0m,center
m4_0m_center_0383.mp3,m4,0m,center
m4_0m_center_0384.mp3,m4,0m,center
m4_0m_center_0385.mp3,m4,0m,center
m4_0m_center_0386.mp3,m4,0m,center
m4_0m_center_0388.mp3,m4,0m,center
m4_0m_center_0389.mp3,m4,0m,center
nogun_None_None_0391.mp3,nogun,None,None
nogun_None_None_0392.mp3,nogun,None,None
nogun_None_None_0393.mp3,nogun,None,None
nogun_None_None_0394.mp3,nogun,None,None
nogun_None_None_0395.mp3,nogun,None,None
nogun_None_None_0396.mp3,nogun,None,None
ak_0m_center_0441.mp3,ak,0m,center
ak_0m_center_0443.mp3,ak,0m,center
ak_0m_center_0444.mp3,ak,0m,center
ak_0m_center_0445.mp3,ak,0m,center
ak_0m_center_0446.mp3,ak,0m,center
ak_0m_center_0447.mp3,ak,0m,center
ak_0m_center_0448.mp3,ak,0m,center
ak_0m_center_0449.mp3,ak,0m,center
ak_0m_center_0451.mp3,ak,0m,center
ak_0m_center_0452.mp3,ak,0m,center
ak_0m_center_0453.mp3,ak,0m,center
ak_0m_center_0454.mp3,ak,0m,center
aug_0m_center_0455.mp3,aug,0m,center
aug_0m_center_0456.mp3,aug,0m,center
aug_0m_center_0457.mp3,aug,0m,center
aug_0m_center_0459.mp3,aug,0m,center
aug_0m_center_0461.mp3,aug,0m,center
aug_0m_center_0462.mp3,aug,0m,center
aug_0m_center_0463.mp3,aug,0m,center
aug_0m_center_0464.mp3,aug,0m,center
aug_0m_center_0465.mp3,aug,0m,center
aug_0m_center_0467.mp3,aug,0m,center
aug_0m_center_0468.mp3,aug,0m,center
aug_0m_center_0469.mp3,aug,0m,center
aug_0m_center_0470.mp3,aug,0m,center
aug_0m_center_0471.mp3,aug,0m,center
awm_0m_center_0472.mp3,awm,0m,center
awm_0m_center_0474.mp3,awm,0m,center
awm_0m_center_0475.mp3,awm,0m,center
awm_0m_center_0476.mp3,awm,0m,center
awm_0m_center_0477.mp3,awm,0m,center
awm_0m_center_0478.mp3,awm,0m,center
awm_0m_center_0479.mp3,awm,0m,center
awm_0m_center_0481.mp3,awm,0m,center
awm_0m_center_0485.mp3,awm,0m,center
awm_0m_center_0486.mp3,awm,0m,center
awm_0m_center_0487.mp3,awm,0m,center
awm_0m_center_0488.mp3,awm,0m,center
awm_0m_center_0489.mp3,awm,0m,center
awm_0m_center_0490.mp3,awm,0m,center
awm_0m_center_0492.mp3,awm,0m,center
awm_0m_center_0494.mp3,awm,0m,center
awm_0m_center_0495.mp3,awm,0m,center
dbs_0m_center_0497.mp3,dbs,0m,center
dbs_0m_center_0498.mp3,dbs,0m,center
dbs_0m_center_0499.mp3,dbs,0m,center
dbs_0m_center_0500.mp3,dbs,0m,center
dbs_0m_center_0501.mp3,dbs,0m,center
dbs_0m_center_0503.mp3,dbs,0m,center
dp_0m_center_0505.mp3,dp,0m,center
dp_0m_center_0507.mp3,dp,0m,center
dp_0m_center_0508.mp3,dp,0m,center
dp_0m_center_0509.mp3,dp,0m,center
dp_0m_center_0510.mp3,dp,0m,center
dp_0m_center_0511.mp3,dp,0m,center
dp_0m_center_0512.mp3,dp,0m,center
dp_0m_center_0513.mp3,dp,0m,center
